 Case_ID  AeroDyn15  AeroDyn15  AeroDyn15  AeroDyn15  AeroDyn15  AeroDyn15  AeroDyn15      ElastoDyn           ElastoDyn           ElastoDyn       ElastoDyn      ElastoDyn          Fst         Fst     Fst    Fst       Fst      Fst   InflowWind  InflowWind  ServoDyn                            ServoDyn                            ServoDyn  ServoDyn 
          AFAeroMod     OLAF       OLAF       OLAF       OLAF       OLAF     WakeMod        BlPitch1            BlPitch2            BlPitch3         GenDOF        RotSpeed       CompInflow  CompServo   DT   DT_Out  OutFileFmt  TMax  HWindSpeed   WindType    DLL_DT                           DLL_FileName                           PCMode   VSContrl 
    0         1         0.5         0          0         1017       254         3             0.0                 0.0                 0.0             True    2.019140272160114       1           1      0.01   0.1        0       1.0      3.0          1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    1         1         0.28        0          0         1087       271         3             0.0                 0.0                 0.0             True    3.594541645994511       1           1      0.01   0.1        0       1.0      5.0          1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    2         1         0.2         0          0         1104       276         3             0.0                 0.0                 0.0             True    5.1123509774611025      1           1      0.01   0.1        0       1.0      7.0          1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    3         1         0.15        0          0         1107       276         3             0.0                 0.0                 0.0             True    6.589281196735111       1           1      0.01   0.1        0       1.0      9.0          1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    4         1         0.13        0          0         1033       258         3      1.5058525323662666  1.5058525323662666  1.5058525323662666     True    7.514186181824161       1           1      0.01   0.1        0       1.0      11.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    5         1         0.13        0          0         881        220         3       7.50413344606208    7.50413344606208    7.50413344606208      True    7.573823812448151       1           1      0.01   0.1        0       1.0      13.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    6         1         0.13        0          0         769        192         3       10.8972969450052    10.8972969450052    10.8972969450052      True    7.630243938880304       1           1      0.01   0.1        0       1.0      15.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    7         1         0.13        0          0         678        169         3      13.883219268525659  13.883219268525659  13.883219268525659     True    7.622050377183605       1           1      0.01   0.1        0       1.0      17.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    8         1         0.13        0          0         605        151         3      16.53735488246438   16.53735488246438   16.53735488246438      True     7.60743945212863       1           1      0.01   0.1        0       1.0      19.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    9         1         0.13        0          0         547        136         3      18.953261878035104  18.953261878035104  18.953261878035104     True    7.605792924227456       1           1      0.01   0.1        0       1.0      21.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    10        1         0.13        0          0         500        125         3      21.238680277668898  21.238680277668898  21.238680277668898     True    7.607153933765292       1           1      0.01   0.1        0       1.0      23.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
    11        1         0.13        0          0         480        115         3      23.455462501156205  23.455462501156205  23.455462501156205     True    7.606737845170748       1           1      0.01   0.1        0       1.0      25.0         1         0.01    /home/bayat2/Documents/SB-WEIS-Phase2/local/lib/libdiscon.so     5         5     
